n,title,is_pr,state,created,closed,author,comments,labels
720,#716 Import ecodes,True,MERGED,2023-05-31,2023-05-31,Poldovico,1,
721,Unable to apply  a preset to my device - NameError: name 'ecodes' is not defined,False,CLOSED,2023-06-05,2023-06-24,ForgeLightGeist,1,
723,ModuleNotFoundError: No module named 'inputremapper'; no devices detected,False,CLOSED,2023-06-08,2023-06-25,Shoxx98,18,
725, [Solved] Input Remapper Application Fails to Launch on Debian 12 with KDE 5.27.5. It worked well on Debian 11.,False,CLOSED,2023-06-11,2023-06-24,CherryBerryKiwi,0,
727,ModuleNotFoundError: No module named 'inputremapper',False,CLOSED,2023-06-13,2023-11-05,NelsonSR,4,
728,is there a way i can remap my steering wheel?,False,CLOSED,2023-06-14,2023-11-05,C3OK,1,
729,`if_single()` on keyboard seems not interacting with `mouse input`.,False,OPEN,2023-06-22,,choikangjae,1,
730,Fix CI,True,MERGED,2023-06-24,2023-06-24,sezanzeb,0,
731,Using asyncio.run instead of loop.run_until_complete,True,MERGED,2023-06-25,2023-06-25,sezanzeb,1,
732,CLI Has Different Devices Listed in Sudo vs User,False,OPEN,2023-06-27,,DefsNotQuack,3,"bug,good first issue"
733,Doesn't work at all under my distro (Peppermint OS - debian 11 and ubuntu 18.04 based),False,CLOSED,2023-06-27,2023-08-29,sabudum,9,
736,Cant remap Logi G600 on Zorin,False,CLOSED,2023-07-11,2023-08-17,gratejames,2,
737,I don't understand the directions for Input Remapper,False,CLOSED,2023-07-11,2023-07-12,Lady-Fitzgerald,3,
739,Logitech M720 doesn't apply correctly,False,OPEN,2023-07-12,,MESLewis,2,
742,"How to ""Apply"" in the command line or using shortcut in the gtk GUI? (basically apply without mouse)",False,CLOSED,2023-07-17,2023-07-17,sgon00,1,
743,Does not see Logitec MX Ergo mouse via Bluetooth on VM,False,OPEN,2023-07-22,,vasilli-ra,0,
744,How do you start it???,False,CLOSED,2023-07-23,2023-07-23,triplemaya,1,
745,"Wheel(direction,speed) delayed firing event at start of button press(2.0.0)",False,OPEN,2023-07-23,,ProtonAbyss,1,
746,BlackWidow v4 Left wheel sending wheel-up event along with rebind,False,OPEN,2023-08-01,,theLockesmith,2,
