n,title,is_pr,state,created,closed,author,comments,labels
1318,Crash of gui on launch,False,CLOSED,2026-06-23,2026-06-23,Geobert,1,
1319,Localization of the program,False,OPEN,2026-06-28,,algri14,0,
1321,Bring pyproject.toml up to standards,True,MERGED,2026-06-28,2026-07-06,alxpl,1,
1322,Having issues with Input Remapper when booting into Bazzite,False,OPEN,2026-07-04,,Waifu4Life,2,
1324,Tests compatible with Python 3.14,True,MERGED,2026-07-06,2026-07-06,sezanzeb,0,
1325,fix(groups): sort groups by unique_key to ensure stable group naming,True,MERGED,2026-07-09,2026-07-16,Odraude-2,11,
1326,Support for multiple virtual gamepad devices,False,OPEN,2026-07-09,,JLCareglio,0,
1327,Bypass pkexec for reader-service if user has read access,True,MERGED,2026-07-14,2026-07-14,shelterx,4,
1328,Add Global toggle support,True,MERGED,2026-07-15,2026-07-20,shelterx,9,
1329,fix: set all timeouts 10s to not crash on slow HDD,True,CLOSED,2026-07-18,2026-09-12,danielzgtg,4,
1331,"Logitech G502 X PLUS: unmapped BTN_LEFT is lost with a minimal preset, but explicit identity mappings work",False,OPEN,2026-07-19,,RockingSisyphus,0,
1332,"Your tool is very fkn hard to use, add some guide to use it or make it easy to use.",False,CLOSED,2026-07-21,2026-07-22,abd-farooqi,2,
1333,[Feature evaluation] Systray support,False,OPEN,2026-07-22,,shelterx,6,
1334,Razer Tartarus Pro gamepad binds not working but Razer Naga V2 Pro mouse are fine,False,OPEN,2026-07-24,,TechLauren,0,
1335,[Feature request] Dismiss hold if cursor moves,False,OPEN,2026-07-24,,aleislost,0,
1336,Add Systray helper/support,True,OPEN,2026-07-25,,shelterx,6,
1337,Holding the meta key during the injection breaks,False,OPEN,2026-07-26,,teslatankx,3,
1338,[Feature request] New action: Send dbus message,False,OPEN,2026-07-31,,enspritz,0,
1340,Driving wheel has inverted pedals so can't trigger at >=%,False,OPEN,2026-08-03,,shawarden,3,
1341,Fix joystick for some gamepads,True,MERGED,2026-08-03,2026-09-11,sezanzeb,1,
1342,"Ruff, black, copyright year",True,MERGED,2026-08-04,2026-09-11,sezanzeb,0,
1343,"Remapped joystick device stopped having -remapped sufix, resulting in double input",False,OPEN,2026-08-05,,Cat-Lady,1,
1346,"How can I send events for devices not in the ""Target"" list?",False,OPEN,2026-08-16,,TheJanzap,1,
1347,KEY_3+KEY_3 outputs 3. not 33. No double numbers allowed? 😳,False,OPEN,2026-08-21,,carsten88,0,
1348,Linux: AppImage packaging,False,OPEN,2026-08-23,,shuvashish76,1,
1349,add ExecStop to service,True,MERGED,2026-08-23,2026-09-12,Renari,5,
1350,"Since Kubuntu updated, do not works any more.",False,CLOSED,2026-08-25,2026-08-25,Mdlpe,2,
1351,Fix hold_keys dropping duplicate keys in + syntax (#1347),True,OPEN,2026-08-26,,arturomaciaas,2,
1352,Add while_eq macro: variable-driven loop stoppable from another mapping,True,OPEN,2026-08-27,,timcharper,1,
1354,feat: Visual Xbox gamepad mapper for keyboards (PES style),True,OPEN,2026-09-04,,Hkeoke,3,
1356,fix: reader-service pipe paths built from home directory instead of username,True,MERGED,2026-09-05,2026-09-14,grenudi,4,
1365,Device Name is Impossible to Tell Apart from Original,False,OPEN,2026-09-06,,TheOverpassArsonist,0,
1366,Latest CachyOS update - IR no longer works,False,CLOSED,2026-09-07,2026-09-09,warrenkerr-spec,8,
1367,Typo in usage.md,True,MERGED,2026-09-13,2026-09-13,tempodat,1,
1368,docs: fix grammar in development.md,True,MERGED,2026-09-14,2026-09-14,TianHengZhuang,0,
1369,Cross Device Simultaneous Inputs Breaking Macros,False,OPEN,2026-09-17,,GriffSZ,0,
1370,Joystick macros,True,OPEN,2026-09-19,,sezanzeb,0,
1371,mypy,True,OPEN,2026-09-20,,sezanzeb,0,
