id,item_n,author,created,is_review
762210123,25,sezanzeb,2021-01-18,False
762211829,25,sojusnik,2021-01-18,False
762212508,25,sezanzeb,2021-01-18,False
762381046,24,laserburn,2021-01-18,False
762438344,24,sezanzeb,2021-01-18,False
762442232,24,laserburn,2021-01-18,False
762443022,24,sezanzeb,2021-01-18,False
762986231,24,laserburn,2021-01-19,False
762988623,24,laserburn,2021-01-19,False
762997041,24,laserburn,2021-01-19,False
763010878,24,sezanzeb,2021-01-19,False
763847335,24,laserburn,2021-01-20,False
763886101,24,sezanzeb,2021-01-20,False
763946422,24,laserburn,2021-01-20,False
763961232,24,sezanzeb,2021-01-20,False
764924532,24,laserburn,2021-01-21,False
764926777,228,sezanzeb,2021-12-08,True
765587683,24,sezanzeb,2021-01-22,False
765644512,24,laserburn,2021-01-22,False
765889089,24,sezanzeb,2021-01-23,False
766496670,228,sezanzeb,2021-12-10,True
766532973,228,jonasBoss,2021-12-10,True
766538878,228,sezanzeb,2021-12-10,True
766565542,228,sezanzeb,2021-12-10,True
766572455,228,sezanzeb,2021-12-10,True
766576433,230,jonasBoss,2021-12-10,True
766576874,230,jonasBoss,2021-12-10,True
766578232,230,sezanzeb,2021-12-10,True
766579137,230,sezanzeb,2021-12-10,True
766602633,230,jonasBoss,2021-12-10,True
766602709,230,jonasBoss,2021-12-10,True
766605404,230,jonasBoss,2021-12-10,True
766621311,230,sezanzeb,2021-12-10,True
766622560,230,sezanzeb,2021-12-10,True
766846660,228,jonasBoss,2021-12-10,True
766864445,230,jonasBoss,2021-12-10,True
766989275,230,sezanzeb,2021-12-10,True
766989696,230,sezanzeb,2021-12-10,True
766995896,230,sezanzeb,2021-12-10,True
767006070,228,sezanzeb,2021-12-10,True
767007058,228,sezanzeb,2021-12-10,True
767259073,228,jonasBoss,2021-12-12,True
767295862,228,sezanzeb,2021-12-12,True
767297683,228,jonasBoss,2021-12-12,True
767318485,228,sezanzeb,2021-12-12,True
767331038,228,jonasBoss,2021-12-12,True
767334514,228,sezanzeb,2021-12-12,True
767634036,232,sezanzeb,2021-12-13,True
767639847,232,sezanzeb,2021-12-13,True
767648575,232,sezanzeb,2021-12-13,True
767656906,232,sezanzeb,2021-12-13,True
767658926,232,sezanzeb,2021-12-13,True
767671160,232,sezanzeb,2021-12-13,True
767680433,232,sezanzeb,2021-12-13,True
767878196,232,jonasBoss,2021-12-13,True
768020934,232,sezanzeb,2021-12-13,True
768021108,232,sezanzeb,2021-12-13,True
768614118,27,sezanzeb,2021-01-27,False
768638098,27,Arrowpuppet,2021-01-27,False
768649458,27,sezanzeb,2021-01-27,False
768650167,27,Arrowpuppet,2021-01-27,False
768665983,23,xenburn,2021-01-28,False
768751918,232,jonasBoss,2021-12-14,True
768792584,232,jonasBoss,2021-12-14,True
768922126,23,sezanzeb,2021-01-28,False
769552364,228,jonasBoss,2021-12-15,True
769834767,27,sezanzeb,2021-01-29,False
770231185,28,sezanzeb,2021-01-30,False
770231593,28,sezanzeb,2021-01-30,False
770253344,28,ghost,2021-01-30,False
770255182,28,sezanzeb,2021-01-30,False
770376174,28,ghost,2021-01-31,False
770385027,29,sezanzeb,2021-01-31,False
770388963,28,sezanzeb,2021-01-31,False
770883835,28,ghost,2021-02-01,False
770897871,28,sezanzeb,2021-02-01,False
770994349,228,sezanzeb,2021-12-16,True
770995886,228,sezanzeb,2021-12-16,True
771262142,228,jonasBoss,2021-12-17,True
771285464,228,sezanzeb,2021-12-17,True
771303387,228,sezanzeb,2021-12-17,True
771330457,228,jonasBoss,2021-12-17,True
771341903,228,sezanzeb,2021-12-17,True
771502894,228,jonasBoss,2021-12-17,True
771538373,228,sezanzeb,2021-12-17,True
771579115,30,sezanzeb,2021-02-02,False
772082674,28,sezanzeb,2021-02-02,False
772088301,31,likern,2021-02-02,False
